PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
8762,1,3,Capt. Thomas Martinez,female,11.0,0.0,1.0,SOTON/OQ 1550,2.83,,S
9285,0,3,Mrs. Rose Anderson,male,,1.0,1.0,STON/O2 9132,20.61,,C
9354,0,3,Col. Walter Rodriguez,male,17.0,1.0,1.0,SC/AH 3511,24.3,C139,S
2896,0,3,Rev. Arthur Taylor,male,37.0,0.0,0.0,STON/O2 6645,52.47,,S
12096,1,2,Mrs. Catherine Johnson,female,33.0,0.0,0.0,SOTON/OQ 1570,19.2,,C
12820,1,3,Mr. John Rodriguez,female,23.0,0.0,0.0,STON/O2 6152,0.75,B4,S
14891,1,1,Major. Charles Johnson,female,31.0,0.0,0.0,SC/Paris 1433,206.84,,S
8663,0,3,Mr. James Davis,male,18.0,1.0,0.0,SC/AH 5855,4.96,,S
979,0,3,Capt. Robert Anderson,male,32.0,0.0,0.0,PC 9584,,E28,S
1367,0,3,Dr. Harry Johnson,male,34.0,0.0,0.0,C.A 7231,5.64,,S
6759,0,3,Mrs. Ethel Clark,male,17.0,0.0,0.0,PC 4667,0.47,,S
7611,1,3,Col. Louis Robinson,female,48.0,0.0,1.0,SC/Paris 2230,4.61,,S
13748,1,3,Rev. Albert Smith,male,50.0,0.0,0.0,SC/Paris 8872,4.21,,C
599,0,1,Rev. Arthur Lewis,male,59.0,0.0,0.0,F.C.C 3829,25.18,B6,S
9864,0,2,Col. Henry Johnson,male,,0.0,0.0,A/S 1812,17.81,G128,C
1735,0,2,Mme. Elizabeth Harris,male,29.0,1.0,1.0,SC/AH 8504,11.36,,S
10892,0,3,Countess. Dorothy Johnson,male,0.5,1.0,0.0,PC 8543,4.52,B13,S
75,1,1,Countess. Dorothy Johnson,male,14.0,0.0,0.0,PC 6325,64.12,,S
11224,0,1,Lady. Helen Clark,male,34.0,0.0,0.0,SC/AH 4170,2.33,,S
6510,1,3,Capt. Albert Miller,female,1.0,0.0,0.0,SC/Paris 4969,16.85,,S
2250,1,3,Capt. Fred Lewis,female,46.0,0.0,0.0,W./C 1909,,,S
5145,1,3,Mr. Walter Harris,female,15.0,0.0,0.0,CA 1185,,,S
1755,0,1,Major. Henry Harris,male,28.0,1.0,1.0,A/4 4538,24.52,,S
13281,1,3,Col. George Martinez,female,15.0,0.0,0.0,A/S 1875,2.06,,C
10658,0,3,Capt. Arthur Jackson,female,30.0,0.0,1.0,PP 2824,2.72,,S
12657,0,2,Col. Henry Martinez,male,30.0,0.0,0.0,SC/AH 1348,9.35,,Q
4377,1,1,Dr. Fred Wilson,female,11.0,1.0,1.0,W./C 9572,18.55,,Q
11068,0,1,Rev. Samuel Martin,male,45.0,0.0,0.0,LINE 5217,,,S
8869,0,3,Rev. Arthur Jackson,male,23.0,0.0,1.0,STON/O2 9030,21.92,,C
11834,0,1,Rev. Louis Thomas,male,33.0,1.0,1.0,F.C.C 7766,5.22,,S
438,0,1,Major. Joseph Miller,male,26.0,0.0,1.0,A/S 7825,24.15,,S
13864,0,3,Rev. George Wilson,male,32.0,1.0,0.0,SC/Paris 6653,512.0,,S
12508,1,2,Mme. Margaret Lewis,male,31.0,0.0,0.0,A/5 3699,45.83,,S
12108,1,3,Dr. Joseph Martin,female,23.0,2.0,0.0,SC/AH 4424,20.51,,S
11163,1,3,Major. Louis Garcia,male,26.0,0.0,1.0,CA 1393,4.69,,S
7879,0,3,Rev. Albert Davis,male,23.0,0.0,1.0,SC/Paris 1271,68.28,,S
12208,0,3,Capt. David Martinez,male,29.0,0.0,1.0,PC 4093,18.84,,S
8317,0,3,Rev. David Robinson,male,19.0,1.0,1.0,C.A 8636,7.29,,C
1302,0,3,Col. George Thomas,male,25.0,0.0,1.0,C.A 8572,56.05,,S
11337,1,3,Rev. Joseph Anderson,female,49.0,0.0,0.0,PP 5661,8.68,,S
2905,0,3,Rev. Richard Martinez,male,44.0,0.0,0.0,CA 3725,7.55,D76,S
10725,1,3,Mr. Arthur Clark,female,7.0,0.0,0.0,C.A 4842,,D25,S
6721,0,1,Capt. James Martin,male,56.0,0.0,1.0,A/S 1772,13.32,,S
12376,0,3,Capt. Fred Taylor,female,33.0,1.0,0.0,C.A 8634,8.93,,Q
14156,0,3,Col. George Smith,male,25.0,2.0,1.0,STON/O2 9183,0.78,,C
13279,0,2,Countess. Anna Wilson,male,40.0,0.0,0.0,SC/Paris 5599,,,S
14480,1,3,Col. Edward Martinez,male,32.0,1.0,0.0,SOTON/OQ 6945,4.99,F37,Q
10481,0,3,Mme. Ethel Anderson,male,43.0,0.0,1.0,PP 6781,25.72,,S
175,0,3,Lady. Rose White,male,30.0,0.0,0.0,W./C 6149,8.83,B22,C
10223,0,3,Lady. Mary Lewis,male,13.0,0.0,0.0,W./C 2430,7.5,G75,S
5777,1,2,Dr. Harry Robinson,female,13.0,0.0,,PP 5538,3.99,,S
10442,1,1,Dr. Albert Thompson,female,20.0,1.0,0.0,LINE 8687,14.33,,S
6822,1,3,Rev. Frank Lewis,female,42.0,2.0,0.0,F.C.C 4666,,A37,Q
11061,0,3,Rev. Frank Garcia,female,49.0,0.0,0.0,A/4 3068,1.86,,S
6064,1,3,Major. James Thompson,female,14.0,0.0,0.0,PP 9032,2.53,,C
9884,1,3,Lady. Edith Thompson,male,39.0,1.0,0.0,A/5 9585,15.41,,C
14206,0,3,Major. Joseph Davis,male,36.0,2.0,2.0,CA 5246,24.71,D120,S
2797,1,3,Mr. Thomas Harris,female,29.0,0.0,0.0,LINE 6645,14.93,,S
9491,0,3,Lady. Edith Robinson,male,30.0,0.0,0.0,LINE 9127,6.64,,S
3522,1,1,Major. Edward Thomas,female,52.0,1.0,0.0,LINE 8829,13.59,,S
2790,1,3,Miss. Grace Davis,female,15.0,0.0,1.0,F.C.C 2194,16.41,,Q
3736,1,1,Miss. Mary Martin,female,28.0,0.0,1.0,F.C.C 9959,,,S
12550,0,2,Capt. Harry Garcia,female,37.0,0.0,0.0,C.A 8479,10.16,,Q
14528,0,3,Lady. Rose Rodriguez,male,60.0,1.0,0.0,SC/Paris 4323,19.95,,C
10217,0,2,Countess. Lillian Thomas,female,52.0,0.0,1.0,SC/AH 1441,3.55,,S
11866,1,3,Capt. Samuel Taylor,female,45.0,0.0,0.0,A/5 7902,6.57,,S
9127,0,1,Ms. Florence Thompson,male,5.0,0.0,0.0,W./C 6699,10.44,B38,S
6024,0,3,Countess. Dorothy Smith,male,38.0,0.0,1.0,SC/Paris 5316,68.0,,C
13542,1,2,Mr. William Brown,female,38.0,0.0,0.0,W./C 1371,24.81,,S
4690,1,2,Mrs. Frances Davis,female,29.0,0.0,0.0,SC/AH 4279,18.96,,Q
2308,0,3,Ms. Ethel Smith,male,49.0,0.0,0.0,A/S 2190,8.88,,S
889,0,3,Rev. Joseph Garcia,male,28.0,1.0,1.0,W./C 4267,65.72,D118,S
9077,0,2,Mrs. Dorothy White,male,24.0,0.0,0.0,A/4 4107,14.38,,S
12335,1,3,Dr. John Rodriguez,male,22.0,0.0,0.0,SC/Paris 8744,38.11,G127,S
7912,0,2,Dr. Fred Wilson,male,19.0,1.0,0.0,STON/O2 3139,35.76,F57,S
7708,0,3,Rev. Richard Smith,male,24.0,0.0,1.0,W./C 2612,,,S
12276,0,2,Capt. Albert Robinson,female,25.0,2.0,2.0,CA 6113,2.44,E135,S
4696,0,3,Col. Richard Martin,male,27.0,0.0,0.0,A/S 9569,,G52,S
9177,1,3,Major. David Martinez,male,,0.0,1.0,W./C 5712,6.1,,S
14280,0,3,Ms. Alice Brown,female,53.0,1.0,0.0,PC 5021,8.33,B127,S
12982,0,3,Rev. William Johnson,male,27.0,0.0,0.0,SOTON/OQ 4292,6.1,A81,S
13630,1,1,Countess. Rose Jackson,female,51.0,0.0,0.0,C.A 6545,18.35,G42,Q
9359,1,3,Rev. Albert Anderson,female,49.0,0.0,0.0,SOTON/OQ 2412,46.32,,S
14276,1,1,Ms. Frances Robinson,female,37.0,0.0,0.0,PC 8176,0.95,,S
11126,1,3,Mr. David Rodriguez,female,6.0,0.0,1.0,C.A 4060,27.25,,C
4088,0,2,Ms. Catherine Rodriguez,male,55.0,1.0,0.0,A/4 4267,0.96,,S
10261,1,1,Dr. Samuel Martin,male,55.0,0.0,0.0,CA 8876,8.87,G121,S
5943,1,3,Capt. Harry Wilson,male,,1.0,0.0,PP 9780,38.5,C39,S
1162,1,3,Major. Arthur Martinez,female,39.0,0.0,0.0,SC/Paris 8323,17.04,,S
12091,0,3,Rev. Arthur Harris,male,26.0,1.0,0.0,F.C.C 9033,13.04,,Q
540,0,3,Mrs. Catherine Brown,male,23.0,1.0,1.0,PP 3508,7.65,,S
9216,1,2,Ms. Ruth Thomas,female,24.0,,0.0,SOTON/OQ 6801,1.67,B66,S
5579,0,2,Countess. Grace Martinez,male,31.0,0.0,1.0,SC/AH 6661,7.56,,C
7819,0,3,Col. Edward Martin,male,6.0,0.0,1.0,SC/AH 2116,44.19,,S
7541,0,2,Mme. Helen Martin,male,23.0,0.0,,PP 6909,39.26,,S
11217,0,3,Mme. Marie Thomas,male,47.0,2.0,1.0,C.A 2714,28.03,,S
3517,0,3,Countess. Grace Anderson,male,20.0,0.0,2.0,SC/Paris 3400,1.19,,S
5829,0,3,Miss. Evelyn Clark,male,22.0,0.0,1.0,SC/Paris 2723,15.48,,C
3764,0,3,Countess. Mildred Thomas,male,30.0,1.0,1.0,PP 8077,105.7,F92,S
14771,0,3,Lady. Anna Harris,male,25.0,1.0,1.0,PC 8554,19.9,,S
13503,0,1,Rev. Richard Johnson,male,9.0,0.0,0.0,PC 7788,28.9,B38,S
3409,0,3,Mr. Richard Thomas,male,53.0,2.0,0.0,PP 4931,24.92,,S
14534,1,3,Capt. Robert Anderson,male,32.0,0.0,0.0,C.A 6107,21.49,A124,Q
5899,0,3,Major. Joseph Brown,female,19.0,0.0,2.0,C.A 4118,8.89,D91,S
13553,1,3,Col. Frank Rodriguez,male,57.0,0.0,0.0,CA 1833,7.9,B132,S
14828,0,2,Major. Robert Brown,female,49.0,0.0,0.0,LINE 3963,,G70,C
13127,1,3,Countess. Mildred Robinson,male,35.0,2.0,1.0,STON/O2 6780,22.06,D143,C
7872,0,3,Ms. Rose White,female,30.0,0.0,1.0,PC 3037,9.69,B109,Q
4282,1,3,Lady. Catherine Johnson,male,31.0,0.0,0.0,STON/O2 2963,3.84,,S
14983,0,2,Col. Louis Clark,male,54.0,0.0,,A/4 8043,5.68,,C
11244,1,2,Capt. Joseph Anderson,female,36.0,0.0,0.0,CA 8425,8.13,D48,C
9308,1,3,Countess. Anna Robinson,female,13.0,1.0,0.0,A/4 4481,46.85,,S
4335,0,2,Dr. Thomas Taylor,male,39.0,1.0,0.0,C.A 1305,2.85,,C
13004,0,3,Mrs. Frances Davis,male,32.0,0.0,0.0,F.C.C 5500,59.52,,S
4095,1,2,Col. Fred Garcia,male,3.0,0.0,0.0,SC/Paris 5219,22.49,,S
10405,0,1,Capt. Walter Miller,male,54.0,0.0,1.0,LINE 7382,3.61,,C
4216,0,3,Miss. Ethel Taylor,male,22.0,1.0,,SC/Paris 6747,32.34,,C
11323,0,3,Capt. Joseph Davis,male,33.0,0.0,2.0,STON/O2 7671,6.27,E115,S
14908,0,3,Col. Richard Thompson,male,33.0,1.0,1.0,W./C 7388,3.85,,S
6865,1,2,Rev. Harry Thompson,female,31.0,0.0,1.0,STON/O2 1151,12.68,,S
10986,0,3,Lady. Ruth Davis,male,32.0,0.0,1.0,PC 7125,7.68,,S
1186,1,2,Dr. Harry Brown,female,33.0,,2.0,CA 6482,55.4,,S
11851,0,2,Miss. Evelyn Robinson,female,52.0,0.0,1.0,LINE 2918,3.78,,C
6874,1,3,Rev. William White,female,26.0,0.0,2.0,SC/Paris 5225,14.5,,C
4028,1,3,Major. Walter Harris,female,35.0,0.0,0.0,PC 7231,,,S
10381,0,3,Col. John Thompson,female,44.0,0.0,0.0,C.A 5489,29.05,,S
6870,0,3,Lady. Grace Brown,male,29.0,0.0,1.0,SOTON/OQ 2574,6.31,A124,S
7511,0,3,Dr. William Davis,female,23.0,0.0,1.0,CA 8195,30.18,,S
1510,0,3,Col. Fred Garcia,male,20.0,2.0,1.0,SC/AH 8873,,,S
9980,0,1,Capt. Henry Martinez,male,25.0,0.0,0.0,SC/Paris 2692,14.16,F77,C
5885,1,3,Countess. Catherine Wilson,male,15.0,1.0,1.0,A/5 8575,13.47,,C
5637,1,3,Countess. Ruth Taylor,female,35.0,0.0,1.0,PP 8326,4.66,,Q
13574,0,2,Mrs. Dorothy Wilson,male,25.0,0.0,0.0,STON/O2 5878,15.12,,S
9643,1,3,Dr. John Anderson,female,41.0,0.0,0.0,SC/AH 6383,7.9,,S
832,0,3,Major. Arthur Thomas,female,44.0,0.0,0.0,CA 6942,38.29,,S
12129,1,1,Dr. William Taylor,female,22.0,1.0,0.0,LINE 7282,4.29,,S
2230,1,1,Lady. Anna Thompson,male,5.0,0.0,0.0,A/S 3948,30.42,,S
14553,1,2,Mr. James Johnson,male,29.0,0.0,0.0,C.A 6419,6.76,,S
1593,0,3,Mrs. Helen Brown,male,28.0,1.0,1.0,PC 6298,24.38,,Q
5084,0,3,Capt. Fred Rodriguez,female,40.0,0.0,0.0,PP 6852,11.3,C134,S
8569,1,2,Col. Edward Jackson,male,18.0,1.0,1.0,PP 1543,7.11,A70,C
12474,0,3,Mme. Helen Brown,female,55.0,1.0,0.0,F.C.C 5920,60.24,,S
14869,0,1,Mrs. Frances White,male,0.5,0.0,0.0,A/4 8325,16.23,,C
11403,1,3,Col. Robert Brown,male,18.0,0.0,1.0,SC/Paris 9322,4.19,G88,S
3974,1,3,Col. Robert Brown,male,40.0,1.0,0.0,CA 2043,6.66,,S
5352,0,2,Dr. George Thomas,male,25.0,1.0,0.0,SOTON/OQ 8972,16.16,,S
8608,0,2,Lady. Mildred Anderson,male,,2.0,0.0,A/4 2210,2.6,D39,C
8734,0,2,Mrs. Edith Davis,male,25.0,0.0,0.0,W./C 2814,10.76,B102,S
2809,0,3,Lady. Helen Miller,male,43.0,0.0,1.0,SOTON/OQ 8489,5.21,,S
6461,1,3,Mr. Edward Miller,female,36.0,0.0,0.0,SC/Paris 4133,7.73,,S
14583,0,1,Rev. Harry Harris,male,40.0,0.0,1.0,LINE 9433,15.1,,S
13891,0,1,Mr. James Johnson,male,14.0,0.0,0.0,SC/Paris 7302,3.67,,S
4689,1,3,Lady. Ethel Martinez,female,37.0,0.0,0.0,A/5 8596,26.52,E68,S
5793,1,1,Col. Fred Robinson,male,40.0,0.0,2.0,C.A 3915,19.37,,C
13709,1,1,Col. Fred Brown,female,14.0,1.0,0.0,A/S 1453,19.36,,Q
9198,0,3,Mrs. Catherine Clark,female,19.0,0.0,0.0,PC 4544,3.01,,S
5843,0,3,Rev. Louis White,male,17.0,0.0,0.0,PP 3388,58.05,G120,S
13477,0,3,Ms. Mary Lewis,male,49.0,1.0,1.0,A/5 2161,6.84,C126,S
290,0,3,Mr. Charles Harris,male,34.0,,0.0,STON/O2 2423,9.18,,C
2061,0,1,Mr. Samuel Martinez,male,36.0,2.0,1.0,SC/AH 7731,4.0,C32,S
8274,0,1,Rev. Arthur Brown,male,26.0,0.0,0.0,SC/AH 2423,10.07,B83,C
9642,1,3,Col. Arthur Davis,male,30.0,0.0,0.0,SOTON/OQ 4288,3.53,,S
14246,0,2,Dr. Arthur Martinez,male,14.0,1.0,1.0,A/4 2174,13.56,C8,S
3550,0,3,Capt. Joseph Robinson,male,31.0,0.0,0.0,SC/AH 9376,39.37,,C
4019,1,2,Rev. Harry Johnson,female,9.0,1.0,0.0,W./C 7682,40.11,,S
5521,1,3,Miss. Edith Brown,female,40.0,0.0,0.0,LINE 1652,6.82,,Q
5940,0,2,Countess. Evelyn Martin,male,38.0,2.0,1.0,A/S 6783,,,S
11636,0,3,Mrs. Helen Brown,male,23.0,0.0,2.0,SC/Paris 3569,5.67,G67,S
12221,1,3,Countess. Evelyn Anderson,female,33.0,0.0,2.0,W./C 7407,27.02,,S
4245,1,3,Countess. Rose Lewis,male,,0.0,0.0,C.A 1043,25.68,,S
9637,0,3,Rev. George Thomas,male,,0.0,1.0,C.A 8488,5.75,C138,C
4522,1,2,Mr. William Miller,female,26.0,1.0,0.0,CA 1622,13.3,,Q
1594,0,3,Mme. Lillian Martin,male,38.0,0.0,0.0,PC 6149,15.83,C100,S
13515,0,3,Rev. George Thompson,male,25.0,0.0,1.0,A/S 1816,80.79,,S
9399,1,3,Lady. Rose Lewis,female,,0.0,0.0,LINE 7358,10.18,,C
11501,0,3,Mr. Thomas Taylor,male,40.0,0.0,0.0,A/S 6922,0.98,,S
3528,0,3,Mr. William Clark,male,33.0,1.0,,CA 1237,13.57,,C
4520,1,3,Mrs. Ethel Lewis,female,30.0,0.0,0.0,W./C 6752,3.36,,S
6685,1,1,Capt. Samuel Brown,female,33.0,0.0,1.0,LINE 1989,91.41,,S
1063,0,3,Dr. Thomas Garcia,male,13.0,0.0,0.0,A/5 1486,53.4,,S
2647,0,3,Ms. Dorothy Jackson,male,15.0,1.0,0.0,A/5 1515,23.19,C68,C
8345,1,3,Dr. Frank Jackson,female,,0.0,0.0,CA 2375,3.47,E67,Q
3992,1,3,Rev. Edward White,female,33.0,2.0,1.0,SC/AH 8319,8.07,G40,S
2897,1,3,Miss. Frances Lewis,female,6.0,1.0,0.0,PP 7571,14.37,,S
11882,1,3,Rev. Albert Anderson,female,43.0,,2.0,STON/O2 9997,16.18,,S
12979,0,2,Miss. Frances Brown,male,0.5,0.0,0.0,PP 4404,11.45,C111,C
11103,0,3,Ms. Helen Garcia,female,16.0,0.0,0.0,SOTON/OQ 9092,1.22,,S
6509,0,3,Mme. Rose Clark,female,43.0,1.0,0.0,SC/Paris 9893,14.76,,S
14718,0,3,Col. Louis Jackson,male,41.0,,0.0,LINE 6881,22.73,D1,C
1534,0,2,Col. Richard Harris,female,17.0,0.0,0.0,SC/AH 2381,14.83,G9,S
2389,1,3,Col. Frank Martin,female,40.0,0.0,0.0,A/5 9937,4.17,,Q
8291,0,3,Lady. Lillian Clark,female,50.0,0.0,,PC 8835,37.78,,S
5121,1,2,Dr. Joseph Martinez,male,14.0,0.0,,CA 3440,3.64,,S
7304,0,3,Countess. Rose Miller,male,31.0,1.0,0.0,SC/Paris 3132,2.98,,S
3176,1,3,Countess. Margaret Johnson,male,31.0,0.0,0.0,LINE 6160,22.07,,S
10690,0,3,Mr. James Thompson,male,35.0,0.0,0.0,PC 2484,9.8,,S
3100,1,3,Miss. Lillian Robinson,female,10.0,1.0,0.0,A/5 9826,7.25,,S
10229,1,1,Major. Fred Taylor,female,47.0,2.0,0.0,SC/Paris 8141,16.3,D35,S
2204,0,1,Mme. Catherine Brown,male,32.0,0.0,0.0,SC/Paris 8680,62.49,,S
7718,1,3,Dr. Henry Martin,female,0.5,0.0,1.0,F.C.C 2304,5.63,A139,S
11218,1,2,Mr. Fred Miller,female,20.0,0.0,0.0,STON/O2 3480,120.56,,Q
1889,1,3,Lady. Catherine Taylor,female,0.5,1.0,0.0,C.A 8880,31.45,,S
2615,1,3,Dr. Frank Garcia,male,21.0,,0.0,F.C.C 8650,12.97,,S
1853,0,2,Mrs. Elizabeth Harris,female,26.0,1.0,1.0,STON/O2 9771,6.55,,S
12296,1,3,Col. Robert Johnson,female,21.0,1.0,1.0,SOTON/OQ 7053,,,C
14613,1,3,Rev. Albert Harris,female,10.0,1.0,0.0,SC/Paris 9369,6.01,,S
1937,1,3,Major. Robert Wilson,male,23.0,0.0,1.0,C.A 9954,1.97,G31,S
4331,0,1,Dr. George Miller,male,21.0,3.0,0.0,CA 8243,37.12,,S
1441,1,3,Rev. Richard Anderson,female,20.0,0.0,0.0,F.C.C 5579,24.02,E52,S
11763,0,2,Col. Richard Lewis,male,33.0,0.0,1.0,PC 6690,82.98,G24,S
1126,1,3,Capt. Henry Lewis,female,30.0,1.0,0.0,A/5 9318,4.3,,C
2437,1,3,Col. Samuel Brown,female,38.0,0.0,0.0,SOTON/OQ 5569,10.94,F150,S
9743,0,2,Rev. Walter Miller,male,25.0,0.0,0.0,PP 3298,5.17,,S
4046,0,1,Dr. Albert Martin,male,24.0,0.0,0.0,STON/O2 4853,15.42,,S
3541,0,3,Countess. Lillian Lewis,female,33.0,0.0,1.0,W./C 1748,,,C
9538,1,2,Mr. Arthur Rodriguez,female,16.0,0.0,0.0,W./C 8173,5.06,,S
13388,1,1,Col. William Rodriguez,male,17.0,1.0,1.0,F.C.C 2308,65.58,,C
12941,0,3,Rev. Charles Harris,male,31.0,0.0,0.0,A/S 8541,0.79,,S
4757,1,2,Rev. Walter Smith,male,28.0,0.0,0.0,A/5 3877,29.35,,C
791,1,2,Mme. Edith Davis,female,21.0,1.0,1.0,PC 6235,3.84,,S
7625,1,2,Dr. Edward Jackson,male,43.0,1.0,1.0,SOTON/OQ 8988,16.75,F28,S
491,0,3,Capt. Frank Smith,female,40.0,0.0,1.0,C.A 7948,11.72,,S
3499,1,3,Countess. Dorothy Lewis,female,32.0,0.0,0.0,SC/Paris 1040,331.01,,Q
3667,0,3,Major. George Taylor,male,19.0,0.0,0.0,SC/Paris 1524,12.61,,S
7753,0,2,Col. David Martin,male,23.0,0.0,0.0,A/5 8707,44.79,,S
6306,1,3,Capt. David Taylor,female,36.0,0.0,0.0,A/4 1524,171.84,F121,S
1381,0,3,Lady. Margaret Martin,male,31.0,0.0,0.0,SC/Paris 4446,22.68,,S
359,1,3,Major. Richard Jackson,female,17.0,0.0,0.0,SC/AH 7768,3.85,,S
8563,0,2,Mrs. Grace Anderson,male,21.0,1.0,1.0,SC/Paris 1451,5.46,,S
775,1,3,Mrs. Mildred Clark,female,29.0,0.0,,A/S 5718,4.86,F4,S
7224,0,3,Capt. Thomas Anderson,male,32.0,0.0,1.0,CA 1269,25.4,F49,S
2205,0,2,Major. George Johnson,male,22.0,0.0,2.0,A/4 4809,2.12,E83,Q
6939,0,2,Major. Fred Clark,male,24.0,1.0,1.0,A/S 8975,76.12,G27,S
7603,0,3,Ms. Grace Taylor,male,16.0,0.0,1.0,A/5 5974,14.53,,S
9233,1,1,Major. Joseph Smith,male,18.0,2.0,1.0,SC/Paris 7723,60.53,,S
8842,0,1,Ms. Elizabeth Garcia,male,44.0,0.0,0.0,A/5 7494,98.94,,S
46,1,2,Countess. Dorothy White,female,33.0,0.0,0.0,LINE 8157,1.73,,S
5619,0,3,Mme. Dorothy Robinson,male,11.0,,0.0,LINE 2227,7.55,,S
8573,0,3,Mrs. Margaret Jackson,male,17.0,,0.0,SC/Paris 7093,3.07,B59,S
8033,1,3,Mme. Gladys Anderson,female,3.0,1.0,0.0,SC/AH 9987,37.45,,S
11139,1,3,Mrs. Edith Clark,female,35.0,1.0,0.0,SOTON/OQ 4814,3.24,,S
5489,0,3,Mr. Arthur Rodriguez,male,50.0,0.0,0.0,A/S 2050,1.0,,S
254,0,3,Rev. Charles White,male,55.0,0.0,0.0,SC/AH 2026,10.44,,S
9499,0,3,Capt. Edward Davis,male,32.0,2.0,0.0,W./C 7798,109.25,,S
9235,0,2,Dr. Arthur Lewis,male,20.0,0.0,0.0,SC/AH 3919,7.27,,S
1792,0,2,Mr. Walter Harris,male,27.0,1.0,0.0,SC/Paris 2351,46.47,,S
32,0,3,Mr. Arthur Clark,male,18.0,0.0,0.0,A/5 8991,11.4,,S
5867,0,1,Ms. Evelyn Davis,male,12.0,1.0,1.0,C.A 3640,29.36,F148,C
12661,1,2,Mr. Charles Lewis,male,42.0,0.0,0.0,STON/O2 3638,16.52,A45,S
6384,1,2,Ms. Rose Lewis,female,36.0,0.0,0.0,STON/O2 5062,11.49,,S
1536,0,1,Capt. Frank Thompson,male,52.0,1.0,1.0,SC/Paris 6496,16.33,C82,S
5879,0,3,Mr. Arthur Martin,male,27.0,0.0,0.0,A/S 8277,18.62,,Q
716,1,3,Countess. Dorothy Taylor,female,29.0,0.0,0.0,SC/AH 7185,12.3,C37,Q
1598,1,1,Capt. George Taylor,female,24.0,1.0,0.0,W./C 4588,20.14,,S
14474,1,1,Miss. Frances Jackson,female,0.5,0.0,0.0,SC/Paris 8351,4.94,,S
13992,1,3,Rev. George White,male,14.0,1.0,0.0,PC 8106,94.17,,S
1337,0,2,Dr. Louis Martinez,male,37.0,,0.0,SC/Paris 2155,87.9,B39,S
8892,0,2,Rev. Frank Smith,female,42.0,1.0,0.0,SC/Paris 5019,9.4,,S
6837,1,2,Dr. Fred Wilson,male,24.0,0.0,0.0,PP 3523,91.36,,S
6811,1,3,Rev. Samuel Thomas,female,28.0,0.0,0.0,CA 6434,7.56,G17,S
9792,1,1,Mr. David Martin,female,,3.0,0.0,A/4 8532,10.25,,S
8171,0,3,Ms. Dorothy Jackson,female,39.0,,0.0,SC/AH 5428,6.82,D121,S
